id;name_en;name_ar;code;jhi_order
1;transmitting;infrastructure;Tools;48247
2;grey;Rustic distributed;model throughput Progressive;24320
3;Quality;payment;Iceland Krona;59901
4;Qatari Rial Consultant Home Loan Account;Rubber Cliffs;Senior navigating;68122
5;Bond Markets Units European Composite Unit (EURCO);synthesizing;Data;7606
6;Re-contextualized out-of-the-box;sensor capacitor Zambian Kwacha;Metal;59205
7;Personal Loan Account;Developer;Oklahoma Wisconsin architectures;40431
8;application;Planner Afghani;Technician;90981
9;connecting;iterate calculating Yen;bus;93800
10;Fantastic Investment Account SDD;Upgradable;frictionless Games;32651
