id;name_en;name_ar;code
1;bandwidth Views redefine;Borders Euro;teal Assurance capacitor
2;Rustic tangible;Brunei Darussalam programming;yellow mobile Buckinghamshire
3;Expanded;Generic Frozen Bike olive Legacy;Gorgeous
4;monetize Estonia;New Jersey Executive;Books Street
5;Security deposit;quantifying Pula Metal;optical explicit embrace
6;killer;input Intelligent;Consultant Savings Account invoice
7;Checking Account pink;Home Rustic Wooden Bacon Director;West Virginia
8;Solomon Islands Research digital;SMS Fresh stable;AI
9;Fresh Licensed mission-critical;Handcrafted Dalasi;PNG Dynamic knowledge user
10;Home Loan Account deposit Bike;plum;Concrete Cambridgeshire
