id;name_en;name_ar;code
1;Unbranded;Books Virginia;Center Bedfordshire
2;generating;compress redefine;Credit Card Account Rubber
3;e-enable overriding;Cambridgeshire Cambridgeshire Designer;Checking Account
4;District Turkish Lira;Sleek Buckinghamshire Gorgeous Soft Fish;Central
5;Cotton;Mandatory Customer;Adaptive
6;optical systems;Garden yellow;Lempira ADP
7;Wooden Forest;Corporate;Music Cotton migration
8;hack multi-byte;Personal Loan Account calculating Books;Avon Infrastructure
9;Legacy JBOD Generic;Island;input
10;Division New Mexico SDR;Ball emulation;bypassing
