id;name_en;name_ar;code
1;Mali knowledge user turn-key;Compatible SAS embrace;Cambridgeshire Jewelery back up
2;SSL transmitting;Unbranded scale schemas;bricks-and-clicks online
3;Investment Account Money Market Account;calculating Developer program;Grass-roots
4;card;alarm Illinois XSS;application Generic Soft Table
5;connect Future;Incredible;invoice Pakistan Rupee
6;mobile digital Assistant;vertical Sleek Tunnel;Group Gorgeous Frozen Soap Director
7;Divide;Executive Baby;Tasty
8;Buckinghamshire;Licensed Concrete;Grass-roots archive Shoes
9;multimedia Central;generate Serbian Dinar National;Cotton
10;Research Object-based;XSS Sports withdrawal;grow Frozen Small Granite Fish
