id;name_en;name_ar;code
1;backing up Grocery;Small;Practical Steel Chair
2;Money Market Account;Berkshire District back up;Marketing Home Loan Account partnerships
3;Uganda;firewall Jordanian Dinar;Granite Books Delaware
4;Persevering Down-sized cohesive;virtual solution Estate;Cotton
5;Bedfordshire communities gold;tan Sports;1080p
6;granular Sausages content;Thailand Practical Fresh Table;portal Kids superstructure
7;Pants navigating;local area network North Carolina bluetooth;Practical Steel Salad azure
8;metrics Applications;connect;SSL Granite
9;implementation;Wyoming;RAM magenta
10;online portal Electronics;Rwanda Franc Senior transitional;Gloves Walk backing up
