id;traffic_unit_name_en;traffic_unit_name_ar;traffic_unit_code
1;California Credit Card Account Communications;Senegal Pitcairn Islands;invoice Virtual
2;Bike holistic;interface service-desk B2C;transmit Brand
3;superstructure;Neck Steel Chair;Point SMTP Colombian Peso Unidad de Valor Real
4;Ergonomic violet bypass;American Samoa Infrastructure paradigm;Practical Wooden Towels Soap
5;HTTP Borders;Intelligent Fresh Mouse;Incredible Granite Chair silver
6;deposit Australian Dollar mint green;generate Balboa US Dollar Web;Street transmit Generic Fresh Chair
7;hard drive payment;Officer;client-server generating
8;Supervisor Soap Fantastic;Cook Islands;transmitting
9;Hills Intelligent invoice;ROI uniform;Cambridgeshire Money Market Account
10;withdrawal CFA Franc BCEAO SSL;Borders Marketing;Soft transition
