id;name_en;name_ar;code
1;indexing Secured Small Steel Mouse;Toys;user-facing Vision-oriented
2;protocol;SMTP embrace Timor-Leste;Handcrafted Steel Fish
3;Central payment;quantify compress core;auxiliary
4;budgetary management;Re-engineered protocol;non-volatile
5;Incredible;Wisconsin interactive Reduced;Steel invoice wireless
6;primary Rand Namibia Dollar;Associate;Multi-lateral Borders SSL
7;Quality Avon;Tenge Union platforms;Coordinator
8;hard drive e-services;Mandatory;firewall Orchestrator
9;RSS Tuna Prairie;card navigate Uruguay;Missouri Alaska
10;programming Strategist;Home San Marino California;blue
